super_opeid,name,type,tier,tier_name,state,czname,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1pc,k_rank,k_median,k_q1,k_q2,k_q3,k_q4,k_q5,k_top1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5
2075,Harford Community College,1,9,Two-year (public and private not-for-profit),MD,Baltimore,90200,0.651192318,0.055242322,0.11326587,0.18758303,0.3164973,0.32741159,0.003829902,0.56361514,36000,0.13639398,0.15816861,0.19432299,0.26618367,0.24493083,0.00296129,0.2297861,0.2309624,0.16525267,0.26349941,0.11049942,0.11858918,0.18491784,0.26445979,0.22094366,0.21108955,0.14489496,0.17872761,0.21613097,0.24390417,0.2163423,0.1300519,0.15961574,0.18889883,0.28173527,0.23969822,0.12805608,0.12345508,0.16771337,0.2800183,0.30075711,0.000610096,0.003117484,0.002101189,0.0010506,0.00564373
3961,Harper College,1,9,Two-year (public and private not-for-profit),IL,Chicago,88900,0.643441142,0.063178763,0.13002415,0.19133027,0.27345484,0.34201202,0.011884223,0.55716866,34600,0.14051104,0.16025126,0.20593724,0.2564114,0.23688909,0.005383182,0.20777813,0.18820567,0.24152687,0.21484758,0.14764173,0.15776612,0.17705899,0.241054,0.23633447,0.18778639,0.15962769,0.17302521,0.21772724,0.23359235,0.2160275,0.12938547,0.15595669,0.20895542,0.26914689,0.23655549,0.11972614,0.14498505,0.17700353,0.27430499,0.28398028,0,0.001218567,0.003303561,0.005113001,0.009340294
20552,Harrington College Of Design,3,10,Four-year for-profit,IL,Chicago,89100,0.648872379,0.07891088,0.11640716,0.18486059,0.27020597,0.34961551,0.019784423,0.52372259,30200,0.15653636,0.20354879,0.21354248,0.24323529,0.18313716,0.007860921,0.2088342,0.24834242,0.22776911,0.18710804,0.12794623,0.1110686,0.27703047,0.14772719,0.31223667,0.1519371,0.13403261,0.14732403,0.35488996,0.18250106,0.18125235,0.16533905,0.23917721,0.20089126,0.28936625,0.1052262,0.16496679,0.17116524,0.16728476,0.22938947,0.26719376,0,0.003558653,0.002600721,7.82756E-05,0.019863958
2466,Harris - Stowe State University,1,7,Nonselective four-year public,MO,St. Louis,45200,0.414375061,0.25191858,0.25599179,0.23392583,0.17263938,0.08552447,0.000391744,0.51578569,29700,0.079163261,0.21257767,0.34065154,0.2734316,0.094175979,0.001943405,0.065105565,0.26291656,0.33956206,0.25699186,0.075423956,0.083024435,0.24288735,0.35302153,0.24428301,0.076783732,0.1067192,0.19306625,0.37246329,0.23961432,0.088136896,0.082493909,0.18244249,0.26486221,0.32368335,0.14651811,0.026919952,0.087776043,0.37281173,0.40016207,0.11233027,0,0.000313304,1.89523E-05,0,0.021733763
3273,Harrisburg Area Community College,1,9,Two-year (public and private not-for-profit),PA,Harrisburg,72200,0.561152897,0.10266445,0.1569543,0.25257987,0.30832753,0.17947383,0.003688853,0.52529913,31000,0.13228738,0.18239328,0.25856465,0.27541175,0.1513429,0.001645687,0.18716827,0.26684165,0.24518959,0.20296194,0.097838521,0.14041156,0.19932118,0.2907373,0.24968158,0.11984841,0.13589405,0.1810744,0.26595858,0.27909064,0.13798228,0.10680296,0.15645897,0.26280257,0.30461603,0.16931953,0.13249435,0.16569246,0.22039363,0.28400791,0.19741164,3.11E-07,0.003485302,0.000389957,0.001109162,0.003667059
1209,Hartnell Community College,1,9,Two-year (public and private not-for-profit),CA,San Jose,51800,0.46411591,0.19784145,0.24128802,0.23553401,0.18365359,0.14168292,0.001524662,0.52118742,30500,0.1652959,0.18514007,0.21637131,0.24070045,0.19249225,0.003750182,0.17519313,0.20698448,0.23824225,0.22973602,0.14984408,0.1574485,0.18068358,0.2524904,0.24837609,0.16100144,0.16041549,0.19493312,0.19009548,0.25548697,0.19906899,0.16624387,0.17045327,0.19872884,0.24107006,0.22350392,0.17172445,0.1649842,0.19086987,0.21787892,0.25454256,0.002516656,0.001021093,0.001231027,0.004985203,0.012707292
2729,Hartwick College,2,6,Selective private,NY,Oneonta,94400,0.670922898,0.057250563,0.11645214,0.17905775,0.24212295,0.40511656,0.029986456,0.65335083,45900,0.090662934,0.1210361,0.15440491,0.23443955,0.39945644,0.030723272,0.14452235,0.10334768,0.17251684,0.28939688,0.29021627,0.11239057,0.13760968,0.13463235,0.2679103,0.34745714,0.10435701,0.15872522,0.14944868,0.25098136,0.33648777,0.060903396,0.11245687,0.15267982,0.22033554,0.4536244,0.088539414,0.10724096,0.16075072,0.21816993,0.42529899,0,0.024671024,0.029353479,0.038259104,0.032906339
129,Harvard University,2,1,Ivy Plus,MA,Boston,174000,0.819640773,0.030466165,0.0534385,0.081116386,0.13245763,0.70252132,0.15399452,0.76780713,81500,0.091732882,0.072259426,0.069741301,0.11473186,0.65153456,0.21091336,0.1751281,0.060210615,0.073951103,0.11329326,0.5774169,0.15369295,0.072505824,0.095991269,0.12137002,0.55643994,0.094136558,0.076674797,0.092384771,0.11803897,0.61876488,0.11341926,0.080124766,0.068900354,0.12581888,0.61173677,0.079036772,0.070770405,0.065106019,0.11181703,0.67326975,0.13589805,0.1863589,0.169098,0.18377565,0.22597922
1171,Harvey Mudd College,2,2,Other elite schools (public and private),CA,Los Angeles,139800,0.775524099,0.039317533,0.06321729,0.11517868,0.17000231,0.61228418,0.053890709,0.78961754,82400,0.082202755,0.055928871,0.064991489,0.11726811,0.67960876,0.11106659,0.060426492,0.054267973,0.13728304,0.004518912,0.74350357,0.074138619,0.090871222,0.078916684,0.13103652,0.62503695,0.051190678,0.073687389,0.098375186,0.057415891,0.71933085,0.13460234,0.077984199,0.12006264,0.11813425,0.54921651,0.075718611,0.04296346,0.037341006,0.13410518,0.70987177,0.15433405,0.12838176,0.087861016,0.079135925,0.11973134
2548,Hastings College,2,6,Selective private,NE,Hastings,82700,0.64153745,0.050670542,0.11713257,0.24700576,0.26928264,0.31590843,0.009088167,0.64889324,45000,0.075673804,0.10872862,0.15286128,0.33578831,0.32694793,0.021538388,0.13759375,0.058361214,0.17087409,0.41740295,0.21576804,0.096508212,0.12662314,0.14679198,0.31008101,0.3199957,0.063179538,0.10863531,0.1592077,0.32179239,0.34718508,0.04596917,0.099731058,0.16311164,0.3360042,0.35518396,0.093106672,0.117915,0.13852285,0.34298867,0.3074668,0.02494151,0.025841657,0.035802137,0.011157528,0.017093008
3274,Haverford College,2,2,Other elite schools (public and private),PA,Philadelphia,174200,0.790881849,0.045679741,0.047854267,0.10426855,0.13896203,0.66323543,0.12276054,0.70834351,57200,0.088103056,0.084835462,0.10916776,0.20517005,0.51272368,0.071224883,0.21737818,0.080143936,0.12167303,0.18722913,0.39357573,0.083352357,0.11725948,0.14169335,0.20216459,0.45553026,0.11266706,0.045133106,0.097261064,0.26795974,0.47697908,0.097913116,0.094858781,0.13968614,0.25394386,0.41359806,0.073624946,0.086960688,0.10143728,0.18653211,0.55144501,0.025111061,0.1260581,0.1239352,0.033570573,0.070047252
7279,Hawaii Pacific University,2,6,Selective private,HI,Honolulu,68600,0.550627037,0.13375214,0.19789232,0.20208368,0.22397853,0.2422934,0.00871968,0.59666204,41100,0.12898697,0.13784364,0.15574941,0.26988316,0.3075369,0.00723585,0.14817935,0.14819717,0.16617671,0.31890145,0.21854538,0.14196804,0.16755362,0.16917497,0.27465862,0.24664471,0.11215524,0.12040824,0.17534828,0.27380747,0.31828079,0.13063112,0.11619286,0.13616911,0.28448984,0.33251709,0.12030855,0.14241873,0.14078182,0.22214775,0.37434316,0.005594077,0.009100555,0.003647535,0.004804758,0.011859301
4595,Hawkeye Community College,1,9,Two-year (public and private not-for-profit),IA,Waterloo,67600,0.53952323,0.096104302,0.18399054,0.28183991,0.2895208,0.14854448,0.002572946,0.56511563,34800,0.090841666,0.15790682,0.26058996,0.29689997,0.19376157,0.002046118,0.097916968,0.27253902,0.27544856,0.26767939,0.086416051,0.11278896,0.17049,0.28433943,0.26814538,0.16423626,0.075834259,0.16147022,0.25819692,0.30626583,0.19823274,0.076081693,0.12210471,0.25598121,0.31793028,0.22790208,0.11632187,0.13117614,0.23508327,0.2926617,0.22475697,0.006103176,0,0.001231387,0.002906263,0.001825034
8083,Haywood Community College,1,9,Two-year (public and private not-for-profit),NC,Asheville,53700,0.449582596,0.19552155,0.23995934,0.25168955,0.24308413,0.069745295,0.003706575,0.44764078,23300,0.17810062,0.25578365,0.28134635,0.20798905,0.076780185,0.000300513,0.25102013,0.28180248,0.26034892,0.12352428,0.083304137,0.22931425,0.33786765,0.22108622,0.17672838,0.035003465,0.076630026,0.27227783,0.34703144,0.22155499,0.082505748,0.17113172,0.13719261,0.30371779,0.2969664,0.090991542,0.18794495,0.25423756,0.23252735,0.19325843,0.13203169,0,0.000475108,0.000219374,0.000453451,0.000302041
17,Heald College,3,11,Two-year for-profit,CA,Fresno,52400,0.461951195,0.19686426,0.23786041,0.23242515,0.20468158,0.12816855,0.001419337,0.54028553,33600,0.1569241,0.15343443,0.21711364,0.26587445,0.20665333,0.002193371,0.17350875,0.1846859,0.23370178,0.25424623,0.15385731,0.15739845,0.16607626,0.22982973,0.27427188,0.17242363,0.14447653,0.15173566,0.2380686,0.27254179,0.19317742,0.1559025,0.13953701,0.18988732,0.25875539,0.25591782,0.15477441,0.10724591,0.17351487,0.26742926,0.29703557,0.002148044,0.002273194,0.001121339,0.004001255,0.001171774
30838,Heartland Community College,1,9,Two-year (public and private not-for-profit),IL,Bloomington,80700,0.597651745,0.090701818,0.14882238,0.1947649,0.30437851,0.26133242,0.00336467,0.52684915,30200,0.13388519,0.20149982,0.23369661,0.24413887,0.18677956,0.001423157,0.19876783,0.29055032,0.2619327,0.16527082,0.083478376,0.14880276,0.22264837,0.28944194,0.20184956,0.13725737,0.14832211,0.19907351,0.24254803,0.24759896,0.16245745,0.11463737,0.20026729,0.22589439,0.2607815,0.19841947,0.11452965,0.16179293,0.19464158,0.27363196,0.25540391,0.000219648,0.002851476,0,0.001192354,0.002356936
